,state,type,clust
BEA,BE,A,a
BEB,BE,B,b
BEF,BE,F,c
BEG,BE,G,d
BEJ,BE,J,c
BEK,BE,K,e
BEL,BE,L,d
BEM,BE,M,d
BEO,BE,O,c
BER,BE,R,c
BGA,BG,A,f
BGB,BG,B,d
BGF,BG,F,g
BGG,BG,G,d
BGJ,BG,J,d
BGK,BG,K,c
BGL,BG,L,c
BGM,BG,M,d
BGO,BG,O,d
BGR,BG,R,h
CZA,CZ,A,f
CZB,CZ,B,d
CZF,CZ,F,h
CZG,CZ,G,i
CZJ,CZ,J,i
CZK,CZ,K,c
CZL,CZ,L,c
CZM,CZ,M,i
CZO,CZ,O,c
CZR,CZ,R,i
DKA,DK,A,a
DKB,DK,B,b
DKF,DK,F,j
DKG,DK,G,d
DKJ,DK,J,c
DKK,DK,K,c
DKL,DK,L,d
DKM,DK,M,d
DKO,DK,O,c
DKR,DK,R,d
DEA,DE,A,a
DEB,DE,B,d
DEF,DE,F,k
DEG,DE,G,k
DEJ,DE,J,k
DEK,DE,K,l
DEL,DE,L,d
DEM,DE,M,k
DEO,DE,O,k
DER,DE,R,k
EEA,EE,A,m
EEB,EE,B,d
EEF,EE,F,j
EEG,EE,G,d
EEJ,EE,J,d
EEK,EE,K,n
EEL,EE,L,d
EEM,EE,M,d
EEO,EE,O,d
EER,EE,R,b
IEA,IE,A,a
IEB,IE,B,k
IEF,IE,F,o
IEG,IE,G,b
IEJ,IE,J,k
IEK,IE,K,i
IEL,IE,L,b
IEM,IE,M,k
IEO,IE,O,i
IER,IE,R,i
ELA,EL,A,p
ELB,EL,B,q
ELF,EL,F,o
ELG,EL,G,q
ELJ,EL,J,q
ELK,EL,K,q
ELL,EL,L,r
ELM,EL,M,q
ELO,EL,O,q
ELR,EL,R,q
ESA,ES,A,s
ESB,ES,B,i
ESF,ES,F,q
ESG,ES,G,i
ESJ,ES,J,i
ESK,ES,K,g
ESL,ES,L,c
ESM,ES,M,i
ESO,ES,O,r
ESR,ES,R,r
FRA,FR,A,t
FRB,FR,B,s
FRF,FR,F,r
FRG,FR,G,d
FRJ,FR,J,i
FRK,FR,K,u
FRL,FR,L,d
FRM,FR,M,d
FRO,FR,O,c
FRR,FR,R,d
HRA,HR,A,v
HRB,HR,B,i
HRF,HR,F,q
HRG,HR,G,w
HRJ,HR,J,g
HRK,HR,K,r
HRL,HR,L,r
HRM,HR,M,r
HRO,HR,O,c
HRR,HR,R,i
ITA,IT,A,f
ITB,IT,B,s
ITF,IT,F,q
ITG,IT,G,w
ITJ,IT,J,v
ITK,IT,K,n
ITL,IT,L,d
ITM,IT,M,h
ITO,IT,O,h
ITR,IT,R,c
CYA,CY,A,p
CYB,CY,B,v
CYF,CY,F,q
CYG,CY,G,w
CYJ,CY,J,k
CYK,CY,K,e
CYL,CY,L,c
CYM,CY,M,c
CYO,CY,O,r
CYR,CY,R,r
LVA,LV,A,w
LVB,LV,B,d
LVF,LV,F,j
LVG,LV,G,n
LVJ,LV,J,k
LVK,LV,K,n
LVL,LV,L,n
LVM,LV,M,d
LVO,LV,O,n
LVR,LV,R,n
LTA,LT,A,f
LTB,LT,B,d
LTF,LT,F,j
LTG,LT,G,d
LTJ,LT,J,k
LTK,LT,K,n
LTL,LT,L,d
LTM,LT,M,d
LTO,LT,O,d
LTR,LT,R,k
LUA,LU,A,a
LUB,LU,B,s
LUF,LU,F,d
LUG,LU,G,d
LUJ,LU,J,u
LUK,LU,K,d
LUL,LU,L,d
LUM,LU,M,d
LUO,LU,O,d
LUR,LU,R,d
HUA,HU,A,f
HUB,HU,B,i
HUF,HU,F,v
HUG,HU,G,i
HUJ,HU,J,i
HUK,HU,K,g
HUL,HU,L,i
HUM,HU,M,i
HUO,HU,O,i
HUR,HU,R,i
MTA,MT,A,x
MTB,MT,B,t
MTF,MT,F,l
MTG,MT,G,k
MTJ,MT,J,k
MTK,MT,K,e
MTL,MT,L,d
MTM,MT,M,k
MTO,MT,O,k
MTR,MT,R,k
NLA,NL,A,m
NLB,NL,B,n
NLF,NL,F,g
NLG,NL,G,k
NLJ,NL,J,i
NLK,NL,K,u
NLL,NL,L,j
NLM,NL,M,d
NLO,NL,O,c
NLR,NL,R,c
ATA,AT,A,t
ATB,AT,B,d
ATF,AT,F,h
ATG,AT,G,d
ATJ,AT,J,k
ATK,AT,K,n
ATL,AT,L,d
ATM,AT,M,d
ATO,AT,O,d
ATR,AT,R,c
PLA,PL,A,d
PLB,PL,B,d
PLF,PL,F,h
PLG,PL,G,d
PLJ,PL,J,d
PLK,PL,K,d
PLL,PL,L,d
PLM,PL,M,d
PLO,PL,O,d
PLR,PL,R,h
PTA,PT,A,p
PTB,PT,B,b
PTF,PT,F,o
PTG,PT,G,d
PTJ,PT,J,g
PTK,PT,K,q
PTL,PT,L,c
PTM,PT,M,i
PTO,PT,O,g
PTR,PT,R,c
ROA,RO,A,f
ROB,RO,B,h
ROF,RO,F,h
ROG,RO,G,j
ROJ,RO,J,d
ROK,RO,K,e
ROL,RO,L,d
ROM,RO,M,k
ROO,RO,O,d
ROR,RO,R,d
SIA,SI,A,t
SIB,SI,B,b
SIF,SI,F,g
SIG,SI,G,i
SIJ,SI,J,d
SIK,SI,K,g
SIL,SI,L,c
SIM,SI,M,d
SIO,SI,O,c
SIR,SI,R,i
SKA,SK,A,e
SKB,SK,B,d
SKF,SK,F,h
SKG,SK,G,c
SKJ,SK,J,c
SKK,SK,K,u
SKL,SK,L,c
SKM,SK,M,d
SKO,SK,O,c
SKR,SK,R,e
FIA,FI,A,e
FIB,FI,B,v
FIF,FI,F,w
FIG,FI,G,d
FIJ,FI,J,k
FIK,FI,K,e
FIL,FI,L,d
FIM,FI,M,c
FIO,FI,O,c
FIR,FI,R,c
SEA,SE,A,t
SEB,SE,B,m
SEF,SE,F,d
SEG,SE,G,e
SEJ,SE,J,k
SEK,SE,K,e
SEL,SE,L,e
SEM,SE,M,e
SEO,SE,O,e
SER,SE,R,e
UKA,UK,A,a
UKB,UK,B,y
UKF,UK,F,y
UKG,UK,G,y
UKJ,UK,J,y
UKK,UK,K,n
UKL,UK,L,y
UKM,UK,M,y
UKO,UK,O,y
UKR,UK,R,y
