"","eu_clusted@cluster","eu_clusted@cluster"
"BEA",1,1
"BEB",2,2
"BEF",3,3
"BEG",4,4
"BEJ",3,3
"BEK",5,5
"BEL",4,4
"BEM",4,4
"BEO",3,3
"BER",3,3
"BGA",6,6
"BGB",4,4
"BGF",7,7
"BGG",4,4
"BGJ",4,4
"BGK",3,3
"BGL",3,3
"BGM",4,4
"BGO",4,4
"BGR",8,8
"CZA",6,6
"CZB",4,4
"CZF",8,8
"CZG",9,9
"CZJ",9,9
"CZK",3,3
"CZL",3,3
"CZM",9,9
"CZO",3,3
"CZR",9,9
"DKA",1,1
"DKB",2,2
"DKF",10,10
"DKG",4,4
"DKJ",3,3
"DKK",3,3
"DKL",4,4
"DKM",4,4
"DKO",3,3
"DKR",4,4
"DEA",1,1
"DEB",4,4
"DEF",11,11
"DEG",11,11
"DEJ",11,11
"DEK",12,12
"DEL",4,4
"DEM",11,11
"DEO",11,11
"DER",11,11
"EEA",13,13
"EEB",4,4
"EEF",10,10
"EEG",4,4
"EEJ",4,4
"EEK",14,14
"EEL",4,4
"EEM",4,4
"EEO",4,4
"EER",2,2
"IEA",1,1
"IEB",11,11
"IEF",15,15
"IEG",2,2
"IEJ",11,11
"IEK",9,9
"IEL",2,2
"IEM",11,11
"IEO",9,9
"IER",9,9
"ELA",16,16
"ELB",17,17
"ELF",15,15
"ELG",17,17
"ELJ",17,17
"ELK",17,17
"ELL",18,18
"ELM",17,17
"ELO",17,17
"ELR",17,17
"ESA",19,19
"ESB",9,9
"ESF",17,17
"ESG",9,9
"ESJ",9,9
"ESK",7,7
"ESL",3,3
"ESM",9,9
"ESO",18,18
"ESR",18,18
"FRA",20,20
"FRB",19,19
"FRF",18,18
"FRG",4,4
"FRJ",9,9
"FRK",21,21
"FRL",4,4
"FRM",4,4
"FRO",3,3
"FRR",4,4
"HRA",22,22
"HRB",9,9
"HRF",17,17
"HRG",23,23
"HRJ",7,7
"HRK",18,18
"HRL",18,18
"HRM",18,18
"HRO",3,3
"HRR",9,9
"ITA",6,6
"ITB",19,19
"ITF",17,17
"ITG",23,23
"ITJ",22,22
"ITK",14,14
"ITL",4,4
"ITM",8,8
"ITO",8,8
"ITR",3,3
"CYA",16,16
"CYB",22,22
"CYF",17,17
"CYG",23,23
"CYJ",11,11
"CYK",5,5
"CYL",3,3
"CYM",3,3
"CYO",18,18
"CYR",18,18
"LVA",23,23
"LVB",4,4
"LVF",10,10
"LVG",14,14
"LVJ",11,11
"LVK",14,14
"LVL",14,14
"LVM",4,4
"LVO",14,14
"LVR",14,14
"LTA",6,6
"LTB",4,4
"LTF",10,10
"LTG",4,4
"LTJ",11,11
"LTK",14,14
"LTL",4,4
"LTM",4,4
"LTO",4,4
"LTR",11,11
"LUA",1,1
"LUB",19,19
"LUF",4,4
"LUG",4,4
"LUJ",21,21
"LUK",4,4
"LUL",4,4
"LUM",4,4
"LUO",4,4
"LUR",4,4
"HUA",6,6
"HUB",9,9
"HUF",22,22
"HUG",9,9
"HUJ",9,9
"HUK",7,7
"HUL",9,9
"HUM",9,9
"HUO",9,9
"HUR",9,9
"MTA",24,24
"MTB",20,20
"MTF",12,12
"MTG",11,11
"MTJ",11,11
"MTK",5,5
"MTL",4,4
"MTM",11,11
"MTO",11,11
"MTR",11,11
"NLA",13,13
"NLB",14,14
"NLF",7,7
"NLG",11,11
"NLJ",9,9
"NLK",21,21
"NLL",10,10
"NLM",4,4
"NLO",3,3
"NLR",3,3
"ATA",20,20
"ATB",4,4
"ATF",8,8
"ATG",4,4
"ATJ",11,11
"ATK",14,14
"ATL",4,4
"ATM",4,4
"ATO",4,4
"ATR",3,3
"PLA",4,4
"PLB",4,4
"PLF",8,8
"PLG",4,4
"PLJ",4,4
"PLK",4,4
"PLL",4,4
"PLM",4,4
"PLO",4,4
"PLR",8,8
"PTA",16,16
"PTB",2,2
"PTF",15,15
"PTG",4,4
"PTJ",7,7
"PTK",17,17
"PTL",3,3
"PTM",9,9
"PTO",7,7
"PTR",3,3
"ROA",6,6
"ROB",8,8
"ROF",8,8
"ROG",10,10
"ROJ",4,4
"ROK",5,5
"ROL",4,4
"ROM",11,11
"ROO",4,4
"ROR",4,4
"SIA",20,20
"SIB",2,2
"SIF",7,7
"SIG",9,9
"SIJ",4,4
"SIK",7,7
"SIL",3,3
"SIM",4,4
"SIO",3,3
"SIR",9,9
"SKA",5,5
"SKB",4,4
"SKF",8,8
"SKG",3,3
"SKJ",3,3
"SKK",21,21
"SKL",3,3
"SKM",4,4
"SKO",3,3
"SKR",5,5
"FIA",5,5
"FIB",22,22
"FIF",23,23
"FIG",4,4
"FIJ",11,11
"FIK",5,5
"FIL",4,4
"FIM",3,3
"FIO",3,3
"FIR",3,3
"SEA",20,20
"SEB",13,13
"SEF",4,4
"SEG",5,5
"SEJ",11,11
"SEK",5,5
"SEL",5,5
"SEM",5,5
"SEO",5,5
"SER",5,5
"UKA",1,1
"UKB",25,25
"UKF",25,25
"UKG",25,25
"UKJ",25,25
"UKK",14,14
"UKL",25,25
"UKM",25,25
"UKO",25,25
"UKR",25,25
