"","eu_clusted@cluster"
"1",13
"2",11
"3",8
"4",6
"5",10
"6",9
"7",8
"8",6
"9",14
"10",7
"11",11
"12",5
"13",1
"14",2
"15",4
"16",8
"17",1
"18",2
"19",4
"20",8
"21",1
"22",2
"23",4
"24",6
"25",3
"26",7
"27",2
"28",9
"29",1
"30",2
"31",11
"32",12
"33",1
"34",2
"35",11
"36",12
"37",1
"38",2
"39",4
"40",8
"41",1
"42",7
"43",11
"44",12
"45",14
"46",7
"47",11
"48",12
"49",1
"50",2
"51",11
"52",12
"53",14
"54",7
"55",2
"56",12
"57",3
"58",2
"59",11
"60",12
"61",10
"62",4
"63",12
"64",6
"65",1
"66",2
"67",11
"68",8
"69",1
"70",2
"71",11
"72",12
"73",13
"74",5
"75",12
"76",6
"77",14
"78",7
"79",11
"80",5
"81",1
"82",11
"83",9
"84",6
"85",1
"86",2
"87",4
"88",12
"89",10
"90",4
"91",8
"92",6
"93",1
"94",2
"95",4
"96",12
"97",10
"98",4
"99",8
"100",6
"101",13
"102",11
"103",8
"104",6
"105",13
"106",2
"107",4
"108",12
"109",14
"110",7
"111",2
"112",5
"113",1
"114",2
"115",11
"116",8
"117",1
"118",2
"119",4
"120",12
"121",13
"122",2
"123",4
"124",12
"125",3
"126",7
"127",2
"128",5
"129",14
"130",7
"131",2
"132",8
"133",14
"134",7
"135",4
"136",8
"137",1
"138",2
"139",11
"140",8
"141",1
"142",2
"143",11
"144",12
"145",1
"146",7
"147",11
"148",8
"149",1
"150",2
"151",11
"152",12
"153",10
"154",9
"155",12
"156",6
"157",13
"158",2
"159",4
"160",12
"161",13
"162",2
"163",11
"164",12
"165",3
"166",7
"167",2
"168",5
"169",3
"170",7
"171",2
"172",9
"173",13
"174",2
"175",9
"176",6
"177",14
"178",7
"179",2
"180",8
"181",13
"182",2
"183",4
"184",12
"185",14
"186",7
"187",11
"188",8
"189",14
"190",7
"191",11
"192",12
"193",14
"194",7
"195",11
"196",8
"197",13
"198",2
"199",9
"200",6
"201",1
"202",2
"203",4
"204",12
"205",14
"206",7
"207",11
"208",5
"209",14
"210",7
"211",11
"212",8
"213",13
"214",2
"215",9
"216",12
"217",3
"218",7
"219",2
"220",12
"221",1
"222",2
"223",11
"224",6
"225",14
"226",7
"227",2
"228",12
"229",3
"230",7
"231",11
"232",8
"233",14
"234",7
"235",2
"236",8
"237",13
"238",11
"239",9
"240",6
"241",3
"242",7
"243",2
"244",5
"245",13
"246",11
"247",8
"248",6
"249",13
"250",11
"251",8
"252",6
"253",13
"254",2
"255",11
"256",12
"257",14
"258",7
"259",11
"260",12
"261",13
"262",2
"263",11
"264",12
"265",3
"266",7
"267",2
"268",8
"269",1
"270",7
"271",11
"272",12
"273",1
"274",2
"275",4
"276",12
"277",1
"278",7
"279",11
"280",12
"281",13
"282",4
"283",8
"284",12
"285",3
"286",7
"287",11
"288",8
"289",14
"290",2
"291",11
"292",8
"293",1
"294",2
"295",4
"296",12
"297",1
"298",2
"299",11
"300",12
"301",13
"302",11
"303",9
"304",12
"305",3
"306",7
"307",2
"308",5
"309",14
"310",11
"311",9
"312",6
"313",1
"314",2
"315",11
"316",12
"317",10
"318",12
"319",6
"320",6
"321",1
"322",11
"323",4
"324",8
"325",1
"326",2
"327",11
"328",12
